braco,antebraco,1torcao_pulso1,1torcao_pulso2,2torcao_pulso1,2torcao_pulso2,3torcao_pulso1,3torcao_pulso2,4torcao_pulso1,4torcao_pulso2
1,1,1,2,2,2,2,3,3,3
1,2,2,2,2,2,3,3,3,3
1,3,2,3,3,3,3,3,4,4
2,1,2,3,3,3,3,4,4,4
2,2,3,3,3,3,3,4,4,4
2,3,3,4,4,4,4,4,5,5
3,1,3,3,4,4,4,4,5,5
3,2,3,4,4,4,4,4,5,5
3,3,4,4,4,4,4,5,5,5
4,1,4,4,4,4,4,5,5,5
4,2,4,4,4,4,4,5,5,5
4,3,4,4,4,5,5,5,6,6
5,1,5,5,5,5,5,6,6,7
5,2,5,6,6,6,6,6,7,7
5,3,6,6,6,7,7,7,7,8
6,1,7,7,7,7,7,8,8,9
6,2,8,8,8,8,8,9,9,9
6,3,9,9,9,9,9,9,9,9
